FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
"2,630,433","5,241,028",2,2,1,"2,620,161","8,394,514","3,286,337","2,441,803",2,2,1,2,1,"1,968,756","2,210,037","9,576,071",1,2,1,1,1,2,"148,808","155,96","1,715,439","9,439,118",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,726,352","1,276,162","0,7352687","0,3081062",2,1,"2,511,055","1,649,953","1,898,231","0,000128152",1,1,1,Normal
"2,621,785","5,237,496",2,2,1,"2,620,161","8,391,951","3,286,337","2,441,803",2,2,1,2,1,"1,972,598","2,210,037","9,572,065",1,2,1,1,1,2,"148,808","1,561,138","1,716,721","9,439,118",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,726,352","1,282,183","0,7352687","0,3074016",2,1,"2,511,856","1,649,953","1,899,994","0,000128152",1,1,1,Normal
"261,602","5,234,355",2,2,1,"2,620,161","8,390,669","3,286,337","2,441,803",2,2,1,2,1,"1,975,479","2,210,037","9,575,269",1,2,1,1,1,2,"148,808","1,561,138","1,717,874","944,181",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","172,725","1,275,778","0,7352687","0,3066329",2,1,"2,511,856","1,649,953","1,899,994","0,000128152",1,1,1,Normal
"2,599,366","523,043",2,2,1,"2,620,161","8,390,669","3,286,337","2,441,803",2,2,1,2,1,"19,79","2,210,037","9,578,875",1,2,1,1,1,2,"148,808","1,561,138","1,717,874","9,439,118",1,2,1,1,2,"1,448,859","2,645,475","1,203,538","1,728,275","1,272,192","0,7352687","0,3066329",2,1,"2,511,856","1,649,953","1,899,994","0,000128152",1,1,1,Normal
"2,588,476","522,729",2,2,1,"2,620,161","8,390,669","3,286,337","2,441,803",2,2,1,2,1,"19,79","2,209,525","958,288",1,2,1,1,1,2,"148,808","1,561,138","1,717,874","9,439,887",1,2,1,1,2,"1,448,859","2,645,475","1,226,609","1,728,275","1,282,951","0,7352687","0,3066329",2,1,"2,511,856","1,649,953","1,899,994","0,000128152",1,1,1,Normal
"2,567,979","5,226,505",2,2,1,"2,620,161","8,390,669","3,286,337","2,441,803",2,2,1,2,1,"1,973,878","2,209,525","958,288",1,2,1,1,1,2,"148,808","1,561,138","1,717,874","9,444,117",1,2,1,1,2,"1,448,859","2,645,475","1,226,609","1,728,275","1,282,951","0,7352687","0,3066329",2,1,"2,511,856","1,649,953","1,899,994","0,000128152",1,1,1,Normal
"2,556,769","5,226,897",2,2,1,"2,620,161","8,390,669","3,286,337","2,441,803",2,2,1,2,1,"1,970,997","2,207,091","9,585,684",1,2,1,1,1,2,"148,808","1,561,138","1,717,874","944,527",1,2,1,1,2,"1,448,859","2,645,475","1,226,609","1,729,172","1,291,533","0,7373172","0,3066329",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"253,435","5,226,897",2,2,1,"2,620,161","8,390,669","3,286,081","2,439,881",2,2,1,2,1,"1,968,756","220,581","9,587,286",1,2,1,1,1,2,"148,808","1,561,138","1,716,464","9,447,962",1,2,1,1,2,"1,448,859","2,645,475","1,226,609","1,729,172","1,291,533","0,7385975","0,30785",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,521,859","5,226,505",2,2,1,"2,620,161","8,390,669","3,283,773","2,439,881",2,2,1,2,1,"1,968,756","2,205,426","9,584,882",1,2,1,1,1,2,"148,808","1,561,138","171,608","9,454,499",1,2,1,1,2,"1,448,859","2,645,475","1,226,609","1,729,172","1,284,745","0,7385975","0,3083624",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,502,642","5,226,897",2,2,1,"2,620,161","8,390,669","3,283,773","2,439,881",2,2,1,2,1,"1,968,756","2,205,426","9,585,684",1,2,1,1,1,2,"148,808","1,561,138","1,715,824","9,455,268",1,2,1,1,2,"1,448,859","2,645,475","1,226,609","1,729,172","1,288,203","0,7385975","0,3083624",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,489,191","522,729",2,2,1,"2,620,161","8,390,669","3,283,773","2,439,881",2,2,1,2,1,"1,968,756","2,207,347","9,588,087",1,2,1,1,1,2,"148,808","1,561,138","1,715,824","9,456,806",1,2,1,1,2,"1,448,859","2,645,475","1,211,228","1,729,172","1,282,823","0,7385975","0,3083624",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,473,497","5,225,327",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,968,756","2,208,628","9,585,684",1,2,1,1,1,2,"148,808","1,561,138","1,715,824","9,456,806",1,2,1,1,2,"1,448,859","2,645,475","1,211,228","1,729,172","1,281,286","0,7385975","0,3083624",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,458,764","522,886",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,957,872","2,208,628","9,586,084",1,2,1,1,1,2,"148,808","1,561,138","1,717,361","9,459,498",1,2,1,1,2,"1,448,859","2,645,475","1,211,228","1,729,172","1,287,306","0,7385975","0,3079781",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,444,031","5,234,355",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,957,232","2,208,628","958,328",1,2,1,1,1,2,"148,808","1,561,138","1,718,515","9,459,498",1,2,1,1,2,"1,448,859","2,645,475","1,211,228","1,729,172","1,283,464","0,7385975","0,3065689",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,434,744","523,671",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,955,311","2,211,318","958,368",1,2,1,1,1,2,"148,808","1,561,138","1,718,515","9,461,036",1,2,1,1,2,"1,448,859","2,645,475","1,211,228","1,729,172","1,282,439","0,7385975","0,3065689",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,423,854","5,237,496",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,955,311","2,211,318","9,581,678",1,2,1,1,1,2,"148,808","1,561,138","1,718,515","9,460,267",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","1,729,172","1,276,547","0,7383414","0,3065689",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,421,932","5,238,281",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,960,433","2,211,318","9,581,277",1,2,1,1,1,2,"148,808","1,561,138","1,718,515","9,462,958",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","1,729,172","1,265,659","0,7379573","0,3065689",2,1,"2,511,856","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,425,776","5,242,598",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,960,753","2,212,215","9,580,076",1,2,1,1,1,2,"148,808","1,561,138","1,718,515","9,462,958",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","1,728,788","1,262,457","0,7361649","0,3065689",2,1,"2,511,535","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,471,575","5,241,421",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,965,555","2,212,215","9,579,275",1,2,1,1,1,2,"148,808","1,561,138","1,717,361","9,462,958",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","172,725","127,027","0,7357808","0,3065689",2,1,"2,510,414","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,527,624","5,242,598",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,968,756","2,212,215","9,576,071",1,2,1,1,1,2,"148,808","1,561,138","1,717,361","9,462,958",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","172,725","1,271,551","0,7348846","0,3065689",2,1,"2,510,414","1,649,953","1,898,872","0,000128152",1,1,1,Normal
"2,554,847","5,246,523",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,968,756","2,212,215","9,576,871",1,2,1,1,1,2,"148,808","1,561,138","1,717,361","9,462,958",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","172,725","1,278,724","0,7348846","0,3065689",2,1,"2,510,414","1,649,953","1,898,071","0,000128152",1,1,1,Normal
"2,598,725","5,243,383",2,2,1,"2,620,161","8,390,669","3,286,337","2,439,881",2,2,1,2,1,"1,968,756","2,212,215","9,573,667",1,2,1,1,1,2,"148,808","1,561,138","1,717,489","9,464,881",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","172,725","1,299,603","0,7348846","0,3065689",2,1,"2,510,414","1,649,953","1,898,071","0,000128152",1,1,1,Normal
"2,639,721","5,245,346",2,2,1,"2,620,161","8,390,669","3,284,799","2,439,881",2,2,1,2,1,"1,968,756","2,212,215","9,577,673",1,2,1,1,1,2,"148,808","1,561,138","1,717,874","9,462,189",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","172,725","1,302,293","0,7348846","0,3075937",2,1,"2,510,414","1,649,953","1,898,071","0,000128152",1,1,1,Normal
"2,667,585","5,242,991",2,2,1,"2,620,161","8,392,271","328,403","2,439,881",2,2,1,2,1,"1,968,756","2,212,215","9,574,869",1,2,1,1,1,2,"148,808","155,96","1,717,874","9,463,343",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","1,725,711","1,292,814","0,7348846","0,3069532",2,1,"2,509,453","1,649,953","1,895,988","0,000128152",1,1,1,Normal
"2,673,029","5,242,991",2,2,1,"2,620,161","8,392,271","328,403","2,439,881",2,2,1,2,1,"1,968,756","2,212,215","9,577,272",1,2,1,1,1,2,"148,808","155,96","1,717,874","9,462,574",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","172,507","1,283,592","0,7348846","0,3068251",2,1,"2,508,171","1,649,953","1,895,988","0,000128152",1,1,1,Normal
"2,653,172","5,242,206",2,2,1,"2,620,161","8,392,271","328,403","2,439,881",2,2,1,2,1,"1,974,838","2,209,909","9,580,076",1,2,1,1,1,2,"148,808","155,96","171,608","9,464,112",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","172,507","1,274,625","0,7348846","0,3068251",2,1,"2,507,049","1,649,953","1,895,828","0,000128152",1,1,1,Normal
"2,629,152","5,244,561",2,2,1,"2,620,161","8,392,271","328,403","2,439,881",2,2,1,2,1,"1,974,838","2,209,653","958,288",1,2,1,1,1,2,"148,808","155,96","171,608","9,462,189",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","1,726,737","1,271,679","0,7348846","0,3068251",2,1,"2,507,049","1,649,953","1,894,546","0,000128152",1,1,1,Normal
"2,622,105","5,244,561",2,2,1,"2,620,161","8,392,271","328,403","2,439,881",2,2,1,2,1,"1,974,838","2,209,653","9,582,078",1,2,1,1,1,2,"148,808","155,96","171,608","9,461,036",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","1,726,737","1,271,679","0,7359089","0,3083624",2,1,"2,507,049","1,649,953","1,894,546","0,000128152",1,1,1,Normal
"2,619,543","5,248,486",2,2,1,"2,620,161","8,392,271","328,403","2,439,881",2,2,1,2,1,"1,974,838","2,209,653","9,584,882",1,2,1,1,1,2,"148,808","155,96","1,711,723","9,461,036",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","1,724,045","1,281,286","0,7359089","0,3084265",2,1,"2,507,049","1,649,953","1,894,226","0,000128152",1,1,1,Normal
"2,606,412","5,253,982",2,2,1,"2,620,161","8,392,271","328,403","2,439,881",2,2,1,2,1,"1,968,436","2,209,653","958,328",1,2,1,1,1,2,"148,808","155,96","1,711,466","9,464,112",1,2,1,1,2,"1,449,116","2,645,475","1,211,228","1,724,045","1,289,612","0,7359089","0,3084265",2,1,"2,507,049","1,649,953","1,893,425","0,000128152",1,1,1,Normal
"2,589,117","5,253,196",2,2,1,"2,620,161","8,392,271","328,403","2,439,881",2,2,1,2,1,"1,965,555","2,209,653","9,586,084",1,2,1,1,1,2,"148,808","155,96","1,711,466","9,466,419",1,2,1,1,2,"1,449,116","2,645,475","1,245,834","1,724,045","1,292,046","0,7359089","0,3084265",2,1,"2,506,569","1,649,953","1,893,425","0,000128152",1,1,1,Normal
"2,574,704","5,255,159",2,2,1,"2,620,161","839,131","328,403","2,439,881",2,2,1,2,1,"1,962,994","2,209,653","9,589,689",1,2,1,1,1,2,"148,808","155,96","1,711,466","9,463,343",1,2,1,1,2,"1,449,116","2,645,475","1,245,834","1,724,045","1,292,046","0,7359089","0,3084265",2,1,"2,505,447","1,649,953","1,893,425","0,000128152",1,1,1,Normal
"2,556,129","5,256,729",2,2,1,"2,620,161","8,389,067","328,403","2,439,881",2,2,1,2,1,"1,962,033","2,209,653","9,590,891",1,2,1,1,1,2,"148,808","155,96","1,711,466","9,463,343",1,2,1,1,2,"1,449,116","2,645,475","1,245,834","1,724,045","1,287,947","0,7355248","0,3084265",2,1,"2,505,447","1,649,953","1,893,425","0,000128152",1,1,1,Normal
"2,545,559","5,259,084",2,2,1,"2,620,161","8,389,067","328,403","2,437,318",2,2,1,2,1,"1,962,033","2,209,653","9,591,691",1,2,1,1,1,2,"148,808","155,96","1,711,466","9,464,112",1,2,1,1,2,"1,449,116","2,645,475","1,222,763","1,723,789","1,272,192","0,7348846","0,3084265",2,1,"2,505,447","1,649,953","1,893,425","0,000128152",1,1,1,Normal
"2,524,741","5,257,907",2,2,1,"2,620,161","8,389,067","328,403","2,437,318",2,2,1,2,1,"1,967,796","2,209,653","9,594,095",1,2,1,1,1,2,"148,808","155,96","1,710,826","9,465,266",1,2,1,1,2,"145,091","2,645,475","1,222,763","1,722,123","1,271,295","0,7348846","0,3084265",2,1,"2,505,447","1,649,953","1,893,745","0,000128152",1,1,1,Normal
"2,512,891","5,259,084",2,2,1,"2,620,161","8,389,067","328,403","2,437,318",2,2,1,2,1,"1,967,796","2,210,678","9,594,896",1,2,1,1,1,2,"148,808","155,96","1,710,826","9,462,574",1,2,1,1,2,"145,091","2,643,873","1,222,763","1,722,123","1,270,655","0,7348846","0,3064407",2,1,"2,505,447","1,649,953","1,893,745","0,000128152",1,1,1,Normal
"2,495,276","5,257,122",2,2,1,"2,620,161","8,389,067","3,284,286","243,924",2,2,1,2,1,"1,967,796","22,126","9,598,901",1,2,1,1,1,2,"148,808","155,96","1,712,363","9,462,189",1,2,1,1,2,"145,091","2,643,873","1,211,228","1,722,123","1,274,753","0,7348846","0,3064407",2,1,"250,721","1,649,953","1,895,347","0,000128152",1,1,1,Normal
"2,480,863","5,255,944",2,2,1,"2,620,161","8,389,067","3,285,312","2,440,393",2,2,1,2,1,"1,962,354","2,213,496","9,598,901",1,2,1,1,1,2,"148,808","155,96","1,714,542","9,464,496",1,2,1,1,2,"145,091","2,643,873","1,203,538","1,722,379","1,290,765","0,7348846","0,3064407",2,1,"2,508,331","1,649,953","1,895,347","0,000128152",1,1,1,Normal
"2,460,366",30,2,2,1,"2,620,161","8,389,067","3,285,312","2,440,393",2,2,1,2,1,"1,962,354","2,213,496","9,598,901",1,2,1,1,1,2,"148,808","155,96","1,714,542","9,463,343",1,2,1,1,2,"145,091","2,643,873","1,203,538","1,724,173","1,307,929","0,7348846","0,3064407",2,1,"2,508,812","1,649,953","1,895,347","0,000128152",1,1,1,Attack
"2,448,195",30,2,2,1,"2,620,161","8,389,067","3,285,312","2,440,393",2,2,1,2,1,"1,963,954","2,212,856","9,596,898",1,2,1,1,1,2,"148,808","155,96","1,715,183","9,462,958",1,2,1,1,2,"145,091","2,643,873","1,203,538","1,726,737","1,307,801","0,7348846","0,3064407",2,1,"2,509,132","1,649,953","1,896,629","0,000128152",1,1,1,Attack
"2,431,221",30,2,2,1,"2,620,161","8,389,067","3,285,312","2,440,393",2,2,1,2,1,"1,965,235","2,212,215","9,599,702",1,2,1,1,1,2,"148,808","155,96","1,715,183","9,462,189",1,2,1,1,2,"145,091","2,643,873","1,203,538","1,726,737","1,306,136","0,7348846","0,3064407",2,1,"2,509,933","1,649,953","189,759","0,000128152",1,1,1,Attack
"2,420,331",30,2,2,1,"2,620,161","8,391,951","3,285,312","2,441,675",2,2,1,2,1,"1,965,235","2,210,678","959,81",1,2,1,1,1,2,"148,808","155,96","1,715,183","9,464,112",1,2,1,1,2,"1,447,834","2,642,912","1,203,538","1,727,634","1,307,929","0,7348846","0,3064407",2,1,"2,510,574","1,649,953","189,759","0,000128152",1,1,1,Attack
"2,420,331",30,2,2,1,"2,620,161","8,391,951","3,285,312","2,441,675",2,2,1,2,1,"1,965,235","2,210,678","9,601,304",1,2,1,1,1,2,"148,808","155,96","1,716,592","9,468,342",1,2,1,1,2,"1,447,834","2,642,592","1,203,538","1,728,531","129,243","0,7348846","0,3064407",2,1,"2,510,574","1,649,953","189,759","0,000128152",1,1,1,Attack
"2,435,384",30,2,2,1,"2,620,161","8,391,951","3,285,312","2,440,906",2,2,1,2,1,"1,965,235","221,055","9,601,304",1,2,1,1,1,2,"148,808","155,96","1,717,233","9,469,111",1,2,1,1,2,"1,450,397","2,642,592","1,203,538","1,728,531","128,641","0,7348846","0,3064407",2,1,"2,510,574","1,649,953","189,759","0,000128152",1,1,1,Attack
"2,481,504",30,2,2,1,"2,620,161","8,391,951","3,285,312","2,440,906",2,2,1,2,1,"1,970,357","2,209,397","9,600,103",1,2,1,1,1,2,"148,808","155,96","1,717,233","9,465,266",1,2,1,1,2,"1,450,397","2,642,592","1,203,538","1,728,531","1,287,434","0,7348846","0,3071454",2,1,"2,510,574","1,649,953","189,759","0,000128152",1,1,1,Attack
"2,519,617",30,2,2,1,"2,620,161","8,391,951","3,285,312","2,440,906",2,2,1,2,1,"1,970,357","2,208,884","9,601,705",1,2,1,1,1,2,"148,808","155,96","1,717,233","9,464,112",1,2,1,1,2,"1,450,397","2,642,592","1,203,538","1,728,531","1,280,646","0,7348846","0,3071454",2,1,"2,510,574","1,649,953","189,759","0,000128152",1,1,1,Attack
"2,554,847",30,2,2,1,"2,620,161","8,391,951","3,285,312","2,440,906",2,2,1,2,1,"1,970,357","2,208,884","9,600,904",1,2,1,1,1,2,"148,808","155,96","1,718,643","9,463,343",1,2,1,1,2,"1,450,397","2,642,592","1,203,538","1,726,993","1,288,075","0,7348846","0,3066329",2,1,"2,510,574","1,649,953","189,759","0,000128152",1,1,1,Attack
"2,602,569",30,2,2,1,"2,620,161","8,391,951","3,285,312","2,440,906",2,2,1,2,1,"1,975,479","2,208,884","959,81",1,2,1,1,1,2,"148,808","155,96","1,719,924","9,463,343",1,2,1,1,2,"1,450,397","2,642,592","1,203,538","1,726,609","1,292,046","0,7348846","0,3065689",2,1,"2,510,574","1,649,953","189,759","0,000128152",1,1,1,Attack
"2,632,995","5,255,159",2,2,1,"2,620,161","8,391,951","3,285,055","2,440,906",2,2,30,2,1,"1,975,479","2,208,884","9,596,097",1,2,1,1,1,2,"148,808","155,96","1,719,924","9,463,343",1,2,1,1,2,"1,450,397","2,642,592","1,203,538","1,726,609","1,285,513","0,7348846","0,3065689",2,1,"2,510,734","1,649,953","1,899,673","0,000128152",1,1,1,Attack
"2,649,329","5,255,944",2,2,1,"2,620,161","8,391,951","3,285,055","24,427",2,2,30,2,1,"1,970,677","2,207,347","9,597,299",1,2,1,1,1,2,"148,808","155,96","1,719,924","9,461,036",1,2,1,1,2,"1,450,397","2,644,194","1,203,538","1,726,609","1,272,704","0,7348846","0,3065689",2,1,"2,512,337","1,649,953","1,899,673","0,000128152",1,1,1,Attack
"2,656,375","5,255,159",2,2,1,"2,620,161","8,391,951","328,403","2,443,085",2,2,1,2,1,"1,969,076","220,645","9,596,898",1,2,1,1,1,2,"148,808","155,96","1,719,924","9,460,651",1,2,1,1,2,"1,450,397","2,644,194","1,203,538","1,728,916","1,271,679","0,7348846","0,3065689",2,1,"2,512,817","1,649,953","1,899,673","0,000128152",1,1,1,Normal
"2,652,211","5,251,234",2,2,1,"2,620,161","8,391,951","3,283,517","2,443,085",2,2,1,2,1,"1,965,235","220,645","9,596,898",1,2,1,1,1,2,"148,808","155,96","1,719,924","9,459,498",1,2,1,1,2,"1,450,397","2,644,194","1,203,538","1,729,428","1,270,911","0,7348846","0,3065689",2,1,"2,513,138","1,649,953","1,901,436","0,000128152",1,1,1,Normal
"2,636,838","5,252,019",2,2,1,"2,620,161","8,389,708","3,283,517","2,441,034",2,2,1,2,1,"1,965,235","220,645","9,597,299",1,2,1,1,1,2,"148,808","155,96","1,719,924","9,462,958",1,2,1,1,2,"1,450,397","2,644,194","1,203,538","173,071","1,277,699","0,7348846","0,3065689",2,1,"251,506","1,649,953","1,901,436","0,000128152",1,1,1,Normal
"2,625,628","5,252,411",2,2,1,"2,620,161","8,389,708","3,283,517","2,440,137",2,2,1,2,1,"1,970,357","220,645","9,595,296",1,2,1,1,1,2,"148,808","1,561,907","1,719,924","9,464,881",1,2,1,1,2,"1,450,397","2,644,194","1,203,538","1,731,479","1,282,311","0,7348846","0,3065689",2,1,"251,506","1,649,953","1,901,436","0,000128152",1,1,1,Normal
"2,620,504","5,248,094",2,2,1,"2,620,161","8,389,708","3,283,517","2,440,137",2,2,1,2,1,"1,974,198","220,645","9,596,097",1,2,1,1,1,2,"148,808","1,561,907","1,720,693","9,466,419",1,2,1,1,2,"1,450,397","2,644,194","1,230,454","1,731,479","1,282,311","0,7348846","0,3065689",2,1,"251,506","1,649,953","1,901,436","0,000128152",1,1,1,Normal
"2,610,575","5,244,561",2,2,1,"2,620,161","8,389,708","3,283,517","2,440,521",2,2,1,2,1,"1,969,076","220,645","9,593,293",1,2,1,1,1,2,"148,808","1,561,907","1,720,693","9,469,111",1,2,1,1,2,"1,450,397","2,644,194","1,230,454","1,731,479","1,282,311","0,7348846","0,3065689",2,1,"251,506","1,649,953","1,901,436","0,000128152",1,1,1,Normal
"2,595,202","5,240,243",2,2,1,"2,620,161","8,389,708","3,283,517","2,441,419",2,2,1,2,1,"1,967,476","2,209,525","9,593,694",1,2,1,1,1,2,"148,808","1,560,882","1,718,643","946,988",1,2,1,1,2,"1,450,397","2,644,194","1,230,454","1,732,504","1,291,405","0,7348846","0,3065689",2,1,"251,506","1,649,953","1,901,436","0,000128152",1,1,1,Normal
"2,575,345","5,239,458",2,2,1,"2,620,161","8,389,708","3,283,517","2,441,419",2,2,1,2,1,"1,967,476","2,210,166","9,595,697",1,2,1,1,1,2,"148,808","155,96","1,718,643","9,472,571",1,2,1,1,2,"1,450,397","2,644,194","1,230,454","1,732,504","129,243","0,7348846","0,3065689",2,1,"251,506","1,649,953","1,901,436","0,000128152",1,1,1,Normal
"2,561,253","5,238,281",2,2,1,"2,620,161","8,391,951","3,283,517","2,441,419",2,2,1,2,1,"1,967,476","2,212,856","9,596,898",1,2,1,1,1,2,"148,808","155,96","1,718,643","9,472,571",1,2,1,1,2,"1,450,397","2,644,194","1,203,538","1,732,504","1,285,129","0,7348846","0,3065689",2,1,"251,506","1,649,953","1,901,436","0,000128152",1,1,1,Normal
